time(s) velocity(m/s) pwm offset_pwm
1584111286.5183618068695068 0.5200007557868958 12108 7000
1584111286.6183271408081055 0.5199988484382629 12098 7000
1584111286.7178852558135986 0.5000002980232239 12093 7000
1584111286.8184833526611328 0.5100005269050598 12090 7000
1584111286.9182984828948975 0.4500010609626770 12100 7000
1584111287.0184068679809570 0.5000002980232239 12113 7000
1584111287.1185212135314941 0.5200007557868958 12108 7000
1584111287.2185599803924561 0.5000002980232239 12103 7000
1584111287.3185176849365234 0.5000002980232239 12103 7000
1584111287.4183580875396729 0.4699996113777161 12110 7000
1584111287.5183107852935791 0.5399993062019348 12108 7000
1584111287.6184198856353760 0.5100005269050598 12095 7000
1584111287.7183418273925781 0.5200007557868958 12088 7000
1584111287.8184537887573242 0.5200007557868958 12078 7000
1584111287.9181697368621826 0.5199988484382629 12068 7000
1584111288.0183284282684326 0.4900000691413879 12065 7000
1584111288.1184449195861816 0.5000002980232239 12068 7000
1584111288.2185063362121582 0.5099986195564270 12065 7000
1584111288.3185024261474609 0.5100005269050598 12060 7000
1584111288.4185142517089844 0.5000002980232239 12058 7000
1584111288.5182225704193115 0.4900019764900208 12060 7000
1584111288.6184554100036621 0.5599997639656067 12047 7000
1584111288.7184956073760986 0.5099986195564270 12030 7000
1584111288.8185403347015381 0.5000002980232239 12028 7000
1584111288.9183614253997803 0.5100005269050598 12025 7000
1584111289.0187902450561523 0.5200007557868958 12018 7000
1584111289.1185071468353271 0.5200007557868958 12008 7000
1584111289.2186326980590820 0.4900019764900208 12005 7000
1584111289.3183414936065674 0.7000010609626770 11955 7000
1584111289.4184286594390869 0.6000006794929504 11881 7000
1584111289.5183694362640381 0.5599997639656067 11843 7000
1584111289.6185052394866943 0.5200007557868958 11823 7000
1584111289.7184641361236572 0.5600016713142395 11802 7000
1584111289.8184072971343994 0.5599997639656067 11773 7000
1584111289.9182765483856201 0.5300009846687317 11750 7000
1584111290.0184054374694824 0.5499995350837708 11730 7000
1584111290.1185774803161621 0.5800002217292786 11698 7000
1584111290.2187745571136475 0.5499995350837708 11665 7000
1584111290.3184590339660645 0.3499987721443176 11692 7000
1584111290.4184384346008301 0.4200003743171692 11748 7000
1584111290.5185971260070801 0.4599993824958801 11778 7000
1584111290.6185510158538818 0.4400008320808411 11803 7000
1584111290.7185196876525879 0.4499991536140442 11831 7000
1584111290.8186097145080566 0.4900000691413879 11845 7000
1584111290.9183807373046875 0.4499991536140442 11861 7000
1584111291.0186192989349365 0.4500010609626770 11885 7000
1584111291.1183788776397705 0.3999999165534973 11924 7000
1584111291.2181518077850342 0.4400008320808411 11963 7000
1584111291.3186326026916504 0.4800017476081848 11983 7000
1584111291.4186229705810547 0.4500010609626770 12001 7000
1584111291.5185244083404541 0.4400008320808411 12028 7000
1584111291.6185665130615234 0.4599993824958801 12053 7000
1584111291.7180831432342529 0.4600012898445129 12073 7000
1584111291.8183891773223877 0.4200003743171692 12103 7000
1584111291.9183266162872314 0.4900019764900208 12125 7000
1584111292.0183506011962891 0.4599993824958801 12138 7000
1584111292.1183583736419678 0.4799998402595520 12153 7000
1584111292.2186050415039062 0.4799998402595520 12163 7000
1584111292.3181817531585693 0.4599993824958801 12178 7000
1584111292.4183468818664551 0.5299990773200989 12180 7000
1584111292.5184612274169922 0.5000002980232239 12173 7000
1584111292.6184809207916260 0.4800017476081848 12178 7000
1584111292.7183873653411865 0.5000002980232239 12183 7000
1584111292.8190431594848633 0.4799998402595520 12188 7000
1584111292.9181323051452637 0.4799998402595520 12198 7000
1584111293.0185818672180176 0.5100005269050598 12200 7000
